ISBN,Title,Author,Purchase_Price,Condition
9780062316097,Sapiens: A Brief History of Humankind,Yuval Noah Harari,12.99,Good
image.png,Fahrenheit 451,Ray Bradbury,8.50,Very Good
9780140283334,On the Road,Jack Kerouac,7.25,Acceptable
9780743273565,The Great Gatsby,F. Scott Fitzgerald,6.99,Like New
9780061120084,To Kill a Mockingbird,Harper Lee,9.95,Good
9780385490818,The Handmaid's Tale,Margaret Atwood,10.50,Good
9780316769488,The Catcher in the Rye,J.D. Salinger,5.99,Acceptable
9780679783268,Pride and Prejudice,Jane Austen,7.15,Very Good
9780553211404,Moby Dick,Herman Melville,6.75,Good
9780143127550,The Alchemist,Paulo Coelho,11.25,Like New
9780812988406,The Nightingale,Kristin Hannah,13.99,New
9780099598169,1984,George Orwell,8.99,Good
9780743273572,The Sun Also Rises,Ernest Hemingway,9.49,Very Good
9780671026189,The Da Vinci Code,Dan Brown,6.50,Acceptable
9780553418026,The Martian,Andy Weir,12.75,Like New